,degrees,eigenvector,betweenness,node
0,0.25925925925925924,0.3390925523713235,0.411301044634378,Donald Trump
1,0.25925925925925924,0.37095055436497937,0.06125356125356125,Hillary Clinton
2,0.14814814814814814,0.06749384079204893,0.004273504273504274,John Kasich
3,0.14814814814814814,0.11468316795791149,0.05555555555555556,Ted Cruz
4,0.4444444444444444,0.5130137560573911,0.4398860398860399,Clinton
5,0.14814814814814814,0.2831879558421105,0.007787274453941121,Trump
6,0.18518518518518517,0.29599728152490096,0.10189933523266859,Cruz
7,0.07407407407407407,0.11007338850601979,0.0,Kasich
8,0.037037037037037035,0.020460219177030264,0.0,Bill
9,0.07407407407407407,0.10447489911841248,0.06837606837606838,Hillary
10,0.1111111111111111,0.2395224934979533,0.0,Bernie Sanders
11,0.07407407407407407,0.17311456733609074,0.0,Barack Obama
12,0.2222222222222222,0.13090324735180645,0.23076923076923078,Marco Rubio
13,0.07407407407407407,0.04809696839888896,0.0,Rand Paul
14,0.25925925925925924,0.2660643068184655,0.21149097815764484,Bush
15,0.07407407407407407,0.17311456733609074,0.0,Obama
16,0.037037037037037035,0.06640792616186257,0.0,Ben Carson
17,0.037037037037037035,0.10046800327379841,0.0,Johnson
18,0.14814814814814814,0.05032637818007897,0.06837606837606838,Jeb Bush
19,0.037037037037037035,0.052105619052794185,0.0,Carson
20,0.1111111111111111,0.04871208868031152,0.0,Chris Christie
21,0.07407407407407407,0.17311456733609074,0.0,Bill Clinton
22,0.037037037037037035,9.605564137525934e-20,0.0,Paul Ryan
23,0.037037037037037035,9.605564137525934e-20,0.0,R-Wis.
24,0.037037037037037035,0.10046800327379841,0.0,Warren
25,0.037037037037037035,0.052105619052794185,0.0,Jeb
26,0.037037037037037035,0.009856525075369956,0.0,Scott Walker
27,0.037037037037037035,0.052105619052794185,0.0,Romney
