,nodeA,nodeB,polarity
150,Coonfield,Der Ewige Jude,0.2023
151,Der Ewige Jude,Muhammad,0.2023
152,Bernie Sanders,Michael Cantalupo,0.5994
153,Donald Trump,Guardascione,-0.7003
154,Donald Trump,Hillary Clinton,-0.7906
155,Clinton,Obama,0.0
156,Clinton,Clinton,0.0
157,Clinton,Obama,0.0
158,Barack Obama,Hillary Clinton's,-0.5423
159,Saddam Hussein,Trump,-0.3612
160,George W. Bush,Trump,-0.3612
161,George W. Bush,Saddam Hussein,-0.3612
162,J. Fred Buzhardt,Richard Nixon,0.0
163,Clinton,Ellen Tauscher,0.128
164,Clinton,Ellen Tauscher,0.128
165,Clinton,Clinton,0.128
166,Clinton,Joe Biden,0.8507
167,Biden,Clinton,0.2382
168,Donald Trump,Jeb Bush,0.4404
169,Donald Trump's,Hillary Clinton,-0.7906
170,Dana Milbank,Twitter,0.0
171,Eric Holder,Loretta Lynch,0.0
172,Lorenzo A. Lynch,Loretta Lynch's,0.0
173,Omar Mateen,Zahi Salman,-0.8126
174,Angus King,Salman,0.0
175,Buddy Dyer,Mateen,0.0
176,James Comey,Mateen,0.5719
177,Mateen,Patience Carter,0.3612
178,Mateen,Tsarnaev,-0.0772
179,Mateen,Matthew Gentili,0.0
180,Mateen,Seddique Mateen,-0.3252
181,Jeb Bush,Rick Perry,0.0
182,Rick Perry,Ted Cruz,0.0
183,Rand Paul,Rick Perry,0.0
184,Jeb Bush,Ted Cruz,0.0
185,Jeb Bush,Rand Paul,0.0
186,Rand Paul,Ted Cruz,0.0
187,Jeb Bush,Lionel Sosa,0.7269
188,Jeb Bush,Manzano,0.34
189,Bush,Columba,0.0
190,Bush,P. Bush,0.0
191,Columba,P. Bush,0.0
192,Donald Trump,Ted Cruz,0.5574
193,Cruz,Ed Rogers,0.6808
194,Cruz,Cruz,-0.3919
195,Cruz,Trump,-0.3919
196,Cruz,Trump,-0.3919
197,Bush,Susan Collins,0.0
198,Charlie Black,Trump,0.1877
199,Bush,Cruz,0.7579
200,Cruz,Cruz,-0.6249
201,Cruz,Stevens,0.6249
202,Cruz,George Herbert Walker Bush,0.0
203,Jeb Bush,Linsdey Graham,0.6808
204,Bush,Graham,0.4939
205,Bush,Graham,0.5423
206,Bush,Jeb Bush,0.4497
207,Marco Rubio,Ted Cruz,0.0
208,Ben Carson,Ted Cruz,0.0
209,Ben Carson,Marco Rubio,0.0
210,George W. Bush,Politico,0.0
211,Marco Rubio,Trump,0.6369
212,Carson,Marco Rubio,0.6369
