,nodeA,nodeB,polarity
4315,Clinton,Clinton,0.9344
4316,Clinton,Clinton,0.9344
4317,Clinton,Clinton,0.9344
4318,Clinton,Clinton,0.9344
4319,Clinton,Clinton,0.9344
4320,Clinton,Clinton,0.9344
4321,Larry Lessig,Lincoln Chafee,-0.0772
4322,Jim Webb,Lincoln Chafee,-0.0772
4323,Clinton,Lincoln Chafee,-0.0772
4324,Jim Webb,Larry Lessig,-0.0772
4325,Clinton,Larry Lessig,-0.0772
4326,Clinton,Jim Webb,-0.0772
4327,Clinton,Clinton,0.25
4328,Clinton,Clinton,0.25
4329,Clinton,Clinton,0.25
4330,Donald Trump,Hillary Clinton,-0.5994
4331,Bill,Hillary,-0.0772
4332,Clinton,Trump,0.5267
4333,Clinton,Frank Luntz,0.5859
4334,Bill Clinton,George Bush,0.5719
4335,Gary Langer,James Comey,0.3477
4336,Clinton,Clinton,0.8239
4337,Clinton,Huma Abedin,0.7351
4338,Anthony Weiner,Clinton,0.7351
4339,Anthony Weiner,Huma Abedin,0.7351
4340,Bernie Sanders,Hillary Clinton,0.5859
4341,Hillary Clinton,Marco Rubio,0.7506
4342,Corey Lewandowski,Donald Trump,-0.6486
4343,Lewandowski,Paul Manafort,-0.3612
4344,Ivanka,Paul Manafort,0.5719
4345,Hope Hicks,Lewandowski,0.8271
4346,Hope Hicks,Lewandowski,0.4404
4347,Mitch McConnell,Paul Ryan,-0.6124
4348,Lewandowski,Paul Ryan,-0.6124
4349,Lewandowski,Mitch McConnell,-0.6124
4350,Eric,Ivanka,-0.2263
4351,Donald Jr.,Ivanka,-0.2263
4352,Ivanka,Lewandowski,-0.2263
4353,Donald Jr.,Eric,-0.2263
4354,Eric,Lewandowski,-0.2263
4355,Donald Jr.,Lewandowski,-0.2263
4356,Lewandowski,Michael Caputo,-0.7959
4357,Ding dong,Lewandowski,-0.7959
4358,Ding dong,Michael Caputo,-0.7959
4359,Lewandowski,Ryan Williams,-0.443
4360,Donald Trump,Ryan Williams,-0.443
4361,Donald Trump,Lewandowski,-0.443
4362,Julian Castro,Tom Vilsack,0.0387
4363,Thomas Perez,Tom Vilsack,0.0387
4364,Clinton,Tom Vilsack,0.0387
4365,Julian Castro,Thomas Perez,0.0387
4366,Clinton,Julian Castro,0.0387
4367,Clinton,Thomas Perez,0.0387
4368,Clinton,Debbie Wasserman Schultz,-0.25
4369,Jeb Bush,Ted Cruz,0.0
4370,Clinton,TPP,0.4215
4371,Clinton,Gingrich,-0.7717
4372,Clinton,Clinton,-0.7717
4373,Clinton,Gingrich,-0.7717
4374,Clinton,Trump,0.359
4375,Bernie,Hillary,0.2263
4376,Clinton,Trump,-0.4215
4377,Clinton,Paul Ryan,0.0
4378,Clinton,Ted Cruz,0.0
4379,Clinton,John Kasich-,0.0
4380,Clinton,Hillary Clinton,0.0
4381,Bernie Sanders,Clinton,0.0
4382,Paul Ryan,Ted Cruz,0.0
4383,John Kasich-,Paul Ryan,0.0
4384,Hillary Clinton,Paul Ryan,0.0
4385,Bernie Sanders,Paul Ryan,0.0
4386,John Kasich-,Ted Cruz,0.0
4387,Hillary Clinton,Ted Cruz,0.0
4388,Bernie Sanders,Ted Cruz,0.0
4389,Hillary Clinton,John Kasich-,0.0
4390,Bernie Sanders,John Kasich-,0.0
4391,Bernie Sanders,Hillary Clinton,0.0
4392,Bernie Sanders,Hillary Clinton,0.0
4393,Donald Trump,Hillary Clinton,-0.6597
4394,Hillary Clinton,Steve Shepard,0.8873
4395,Clinton,Donald,-0.7964
4396,Barack Obama,David Plouffe,0.6249
4397,Barack Obama,Clinton,0.6249
4398,Clinton,David Plouffe,0.6249
4399,Clinton,dad,-0.1459
4400,Clinton,Trump,-0.1459
4401,Clinton,Fred,-0.1459
4402,Trump,dad,-0.1459
4403,Fred,dad,-0.1459
4404,Fred,Trump,-0.1459
4405,Clinton,Trump,-0.6773
4406,Bill Clinton,Hillary Clinton,0.5984
4407,Clinton,Sid Blumenthal,0.5267
4408,Valerie Jarrett,https://t.co/SrlAbK3rfK,0.0
4409,@vj44,https://t.co/SrlAbK3rfK,0.0
4410,@vj44,Valerie Jarrett,0.0
4411,Jon Stewart,Obama,0.4404
4412,Andrew O'Connell,Gray,0.128
4413,Davis,Gray,-0.6124
4414,Gray,Jason Downs,0.0
4415,Gray,van,-0.5106
4416,Erin Burnett,Gray,-0.5106
4417,Erin Burnett,van,-0.5106
4418,Donald Trump,Hillary Clinton,0.4761
4419,Bernie Sanders,Clinton,0.0
4420,Clinton,Trump,0.7227
4421,Clinton,Malloy,0.7227
4422,Malloy,Trump,0.7227
4423,Ben Carson,Carson,0.5927
4424,Ben Carson,Ted Cruz,0.5927
4425,Ben Carson,Marco Rubio,0.5927
4426,Carson,Ted Cruz,0.5927
4427,Carson,Marco Rubio,0.5927
4428,Marco Rubio,Ted Cruz,0.5927
4429,Clinton,Trump,0.6705
4430,Clinton,Trump,-0.1513
4431,Bergoglio,Juan Domingo Perón,0.0
4432,Buenos Aires,Francis,-0.4215
4433,Jeb Bush,Rick Santorum,0.5994
4434,Jesus,Nazareth,0.0
4435,John Kasich,Ted Cruz,0.0516
4436,Cruz,Kasich,0.4019
4437,Cruz,Kasich,0.872
4438,Cruz,Kasich,0.872
4439,Kasich,Kasich,0.872
4440,Cruz,Kasich,0.9246
4441,Cruz,Kasich,0.1531
4442,Cruz,Matea Gold,0.9451
4443,Cruz,Matea Gold,0.9451
4444,Kasich,Matea Gold,0.9451
4445,Cruz,Cruz,0.9451
4446,Cruz,Kasich,0.9451
4447,Cruz,Kasich,0.9451
4448,Cruz,Kasich,0.9493
4449,Cruz,Kasich,-0.5267
4450,Cruz,Getting Kasich,0.5719
4451,Cruz,Kasich,0.0
4452,Cruz,Kasich,0.0772
4453,Cruz,Kasich,0.0
4454,Cruz,Kasich,-0.1779
4455,Cruz,Reid Epstein,0.0
4456,Cruz,Kasich,0.9535
4457,Cruz,Kasich,0.5023
4458,Cruz,Kasich,-0.5423
4459,Cruz,Kasich,0.0
4460,Clinton,Scott Walker,0.5994
4461,Clinton,Clinton,0.2732
4462,Franklin Roosevelt,Teddy Roosevelt,0.0
4463,Teddy Roosevelt,Winston Churchill,0.0
4464,Henry Kissinger,Teddy Roosevelt,0.0
4465,Clinton,Teddy Roosevelt,0.0
4466,Franklin Roosevelt,Winston Churchill,0.0
4467,Franklin Roosevelt,Henry Kissinger,0.0
4468,Clinton,Franklin Roosevelt,0.0
4469,Henry Kissinger,Winston Churchill,0.0
4470,Clinton,Winston Churchill,0.0
4471,Clinton,Henry Kissinger,0.0
4472,Arias,Travis Alexander,-0.7783
4473,Chris Christie,George W. Bush’s,0.34
4474,Leonid Shestakov,Vinnitchenko,0.5267
4475,R-Ky.,Rand Paul,0.7783
4476,Donald Trump,Hillary Clinton,-0.1779
4477,Clinton,Enrique Peña Nieto,-0.015
4478,Jake Sullivan,Trump,0.0
4479,Donald Trump,Sullivan,0.9081
4480,Bernie Sanders,Clinton,0.0516
4481,Clinton,Dennis Cheng,-0.0772
4482,Clinton,Jesse Ferguson,0.0
4483,Clinton,Robby Mook,0.4019
4484,Marc,Robby Mook,0.4019
4485,Clinton,Marc,0.4019
4486,Clinton,Jennifer Palmieri,0.0
4487,Bernie Sanders,Hillary Clinton,0.0
4488,Clinton,Hillary Clinton,0.5719
4489,Cruz,Trump,0.0
4490,Cruz,Dana Bash,0.5994
4491,Bernie,Hillary,0.6486
4492,Chris Christie,Jeb Bush,-0.0516
4493,Jeb Bush,John Kasich,-0.0516
4494,Chris Christie,John Kasich,-0.0516
4495,Chris Cuomo,Clinton,0.0772
4496,Cuomo,Latino,0.5034
4497,Martin O'Malley,Mike Huckabee,0.0
4498,Jeb Bush,Marco Rubio,0.171
4499,Clinton,Suzanne Malveaux,-0.4588
4500,Clinton,Trump,0.0
4501,Mike Pence,Trump,0.7096
4502,Cruz,Paul Ryan,0.7351
4503,Cruz,Reince Priebus,0.7351
4504,Paul Ryan,Reince Priebus,0.7351
4505,Donald Trump,Mike Pence,0.7845
4506,Clinton,Donald Trump,0.7845
4507,Clinton,Mike Pence,0.7845
4508,Claire McCaskill,D-Mo.,0.5574
4509,Claire McCaskill,Marco Rubio,0.5574
4510,D-Mo.,Marco Rubio,0.5574
4511,Bernie Sanders,Clinton,-0.4019
4512,Jeb Bush,John Kasich,-0.2592
4513,Chris Christie,John Kasich,-0.2592
4514,Chris Christie,Jeb Bush,-0.2592
4515,J. Russell George,Timothy Camus,-0.5267
4516,Camus,Carolyn Maloney,0.1779
4517,George,Lerner,0.3182
4518,Clinton,Trump,-0.2023
4519,Abraham Lincoln,Trump,-0.1027
4520,Abraham Lincoln,Clinton,-0.1027
4521,Clinton,Trump,-0.1027
4522,Barack Obama,Trump,0.6486
4523,Barack Obama,Clinton,0.6486
4524,Clinton,Trump,0.6486
4525,Clinton,Michelle Obama,-0.2732
4526,Clinton,Clinton,-0.926
4527,Clinton,Trump,-0.743
4528,Clinton,Vladimir Putin,0.1531
4529,Brian Fallon,Clinton,0.0
4530,Jason Miller,Trump,0.2023
4531,Jason Miller,Mrs Clinton,0.2023
4532,Mrs Clinton,Trump,0.2023
4533,Ben Carson,Trump,0.0
4534,Jason Smith,Jeff Sessions,0.0
4535,Clinton,Nigel Farage,-0.5859
4536,Bill,Hillary Clinton,-0.296
4537,Bill Clinton,Hillary Clinton,-0.8225
4538,Juanita Broaddrick,Paula Jones,0.0
4539,Kathy Shelton,Paula Jones,0.0
4540,Kathleen Willey,Paula Jones,0.0
4541,Juanita Broaddrick,Kathy Shelton,0.0
4542,Juanita Broaddrick,Kathleen Willey,0.0
4543,Kathleen Willey,Kathy Shelton,0.0
4544,Clinton,Donald Trump,-0.6874
4545,Donald Trump,Jennifer Palmieri,-0.6874
4546,Clinton,Jennifer Palmieri,-0.6874
4547,John McCain,Rob Portman,-0.5859
4548,John McCain,Kelly Ayotte,-0.5859
4549,Kelly Ayotte,Rob Portman,-0.5859
4550,Clinton,Mike Pence,0.128
4551,Donald Trump,Hillary Clinton,0.2732
4552,Clinton,Trump,0.7278
4553,Gerald Ford,Jimmy Carter,-0.1901
4554,Gerald Ford,no Donald Trump,-0.296
4555,Joe Biden,John Kerry,0.128
4556,Chuck Hagel,Joe Biden,0.128
4557,Chuck Hagel,John Kerry,0.128
4558,James Foley,Steven Sotloff,-0.6908
4559,Abdul-Rahman Peter Kassig,James Foley,-0.6908
4560,Abdul-Rahman Peter Kassig,Steven Sotloff,-0.6908
4561,Boehner,Kevin McCarthy,-0.0772
4562,Hillary Clinton,Rand Paul,0.0516
4563,Hillary Clinton's,Paul,-0.7645
4564,Hillary Clinton's,Moammar Gadhafi,-0.7645
4565,Clinton,Hillary Clinton's,-0.7645
4566,Moammar Gadhafi,Paul,-0.7645
4567,Clinton,Paul,-0.7645
4568,Clinton,Moammar Gadhafi,-0.7645
4569,Gabe Sherman,Lewandowski,-0.7469
4570,Gabe Sherman,Paul Manafort,-0.7469
4571,Gabe Sherman,Ronald Reagan,-0.7469
4572,Lewandowski,Paul Manafort,-0.7469
4573,Lewandowski,Ronald Reagan,-0.7469
4574,Paul Manafort,Ronald Reagan,-0.7469
4575,Bernie Sanders,Hillary Clinton,-0.5106
4576,Clinton,Trump,0.3818
4577,Kendal Unruh,Trump,0.3182
4578,Lewandowski,Trump,0.3182
4579,Kendal Unruh,Lewandowski,0.3182
4580,Charlie Black,Ted Cruz,0.6908
4581,Danny Diaz,Donald Trump,0.0
4582,Donald Trump,Jeb Bush's,0.0
4583,Danny Diaz,Jeb Bush's,0.0
4584,Mitch McConnell,Obama,0.3384
4585,McConnell,Obama,-0.6652
4586,Colin Powell,Henry Kissinger,0.0387
4587,John Boehner,McConnell,0.0258
4588,Reagan,Robert Kagan,-0.0258
4589,John McCain's,Robert Kagan,-0.0258
4590,John McCain's,Reagan,-0.0258
4591,David Rothkopf,Netanyahu,0.6249
4592,Netanyahu,Netanyahu,-0.4588
4593,Boehner,David Bernstein,-0.5106
4594,David Bernstein,Netanyahu,-0.5106
4595,Boehner,Netanyahu,-0.5106
4596,Cotton,Obama,0.128
4597,Donald Trump,Marco Rubio,0.7717
4598,Chris Christie,Marco Rubio,0.7717
4599,Chris Christie,Donald Trump,0.7717
4600,Hillary Clinton,Mary Pat,0.9423
4601,Christie,Mary Pat,0.9423
4602,Christie,Hillary Clinton,0.9423
4603,Bush,Donald Trump,0.0
4604,Bush,Ted Cruz,0.0
4605,Bush,Marco Rubio,0.0
4606,Donald Trump,Ted Cruz,0.0
4607,Donald Trump,Marco Rubio,0.0
4608,Marco Rubio,Ted Cruz,0.0
4609,George H.W. Bush,George W. Bush,0.0
4610,Donald Trump,John McCain,-0.1779
4611,Cameron,Emwazi,0.0
4612,Abdul-Rahman Kassig,Steven Sotloff,0.0
4613,Alan Henning,David Haines,-0.6705
4614,David Haines,Kenji Goto,-0.6705
4615,Alan Henning,Kenji Goto,-0.6705
4616,Foley,John,-0.6705
4617,John,John,-0.6705
4618,Diane Foley,John,-0.6705
4619,Foley,John,-0.6705
4620,Diane Foley,Foley,-0.6705
4621,Diane Foley,John,-0.6705
4622,Shirley Sotloff,Steven Sotloff,0.0
4623,Emwazi,Shirley Sotloff,0.0
4624,Emwazi,Steven Sotloff,0.0
4625,Julie Tate,Thomas Gibbons-Neff,0.0
4626,Julie Tate,Karla Adam,0.0
4627,Julie Tate,Liz Sly,0.0
4628,Karla Adam,Thomas Gibbons-Neff,0.0
4629,Liz Sly,Thomas Gibbons-Neff,0.0
4630,Karla Adam,Liz Sly,0.0
4631,Donald Trump,Hillary Clinton,0.5106
4632,Hillary Clinton,Obama,0.5106
4633,Donald Trump,Obama,0.5106
4634,Clinton,Donald Trump,0.8555
4635,Clinton,Trump,0.0
4636,Founder,Hyat-Khan,0.0
4637,Jeanne Zaino,Ph.D.,0.0
4638,Donald Trump,Jeff Sessions,0.3818
4639,Gary Johnson,Reason,0.5574
4640,Paul Ryan,Priebus,-0.2023
4641,Bailey,Scott Brown,0.4767
4642,Cruz,Priebus,0.7003
4643,Bush,George W. Bush,-0.9538
4644,Cruz,Marco Rubio,-0.7096
4645,Dana Milbank,Twitter,0.0
4646,Jeff Sessions,Sarah Palin,-0.296
4647,Ben Carson,Sarah Palin,-0.296
4648,Jerry Falwell,Sarah Palin,-0.296
4649,Pam Bondi,Sarah Palin,-0.296
4650,Ben Carson,Jeff Sessions,-0.296
4651,Jeff Sessions,Jerry Falwell,-0.296
4652,Jeff Sessions,Pam Bondi,-0.296
4653,Ben Carson,Jerry Falwell,-0.296
4654,Ben Carson,Pam Bondi,-0.296
4655,Jerry Falwell,Pam Bondi,-0.296
4656,Ben Carson,Kasich,0.6369
4657,Donald Trump's,Hillary Clinton,0.0772
4658,Cruz,Kasich,0.4215
4659,Cruz,Trump,0.4019
4660,Cruz,Kasich,-0.2732
4661,David Haines,Steven Sotloff,0.0
4662,Alan Henning,Steven Sotloff,0.0
4663,Peter Kassig,Steven Sotloff,0.0
4664,Abdul-Rahman,Steven Sotloff,0.0
4665,Alan Henning,David Haines,0.0
4666,David Haines,Peter Kassig,0.0
4667,Abdul-Rahman,David Haines,0.0
4668,Alan Henning,Peter Kassig,0.0
4669,Abdul-Rahman,Alan Henning,0.0
4670,Abdul-Rahman,Peter Kassig,0.0
4671,Ibrahim al-Mazwagi,Mohammad el-Araj,-0.8689
4672,Choukri Ellekhlifi,Mohammad el-Araj,-0.8689
4673,Choukri Ellekhlifi,Ibrahim al-Mazwagi,-0.8689
4674,Pinckney,Reba Martin,0.0
4675,Pinckney,Reba Martin,0.4939
4676,Branden Sweeper,Pinckney,0.8225
4677,Marlene Coakley-Jenkins,Myra,-0.3182
4678,Obama,Vladimir Putin’s,0.0
4679,Obama,Putin,0.3182
4680,Obama,Putin,-0.4215
4681,Assad,Putin,-0.8591
4682,King Abdullah,Muath al-Kaseasbeh,-0.9545
4683,King Abdullah,Muath al-Kaseasbeh,0.3252
4684,Amman,Mohammad al-Momani,-0.7096
4685,Daesh,Mohammad al-Momani,-0.7096
4686,Amman,Daesh,-0.7096
4687,Sajida al-Rishawi,Zaid al-Karbouly,-0.5106
4688,John McCain,R-Ariz.,0.5106
4689,Chuck Hagel,John Kerry,0.25
4690,Barack Obama,Benjamin Netanyahu,0.4215
4691,Barack Obama,Netanyahu,0.4215
4692,Benjamin Netanyahu,Netanyahu,0.4215
4693,Andrea Mitchell,Netanyahu,0.7003
4694,Mahmoud Abbas,Netanyahu,-0.6597
4695,Netanyahu,Obama,-0.4404
4696,Angela Merkel,Barack Obama,0.34
4697,Jake Tapper,Pelosi,0.0
4698,Boehner,Boehner,0.4391
4699,Boehner,Boehner,0.4391
4700,Boehner,Boehner,0.4391
4701,Boehner,Boehner,0.0027
4702,Boehner,Pelosi,0.6908
4703,Boehner,Francis,0.4404
4704,Boehner,Pelosi,0.296
4705,Donna Edwards,Keith Ellison,0.5801
4706,Donna Edwards,Obama,0.5801
4707,Keith Ellison,Obama,0.5801
4708,Justin Amash,Raul Labrador,0.7717
4709,Debbie Wasserman Schultz,Henry Cuellar,0.2878
4710,Debbie Wasserman Schultz,Jim Costa,0.2878
4711,Henry Cuellar,Jim Costa,0.2878
4712,Brad Ashford,Carlos Curbelo,0.3612
4713,Brad Ashford,Rod Blum,0.3612
4714,Bob Dold,Brad Ashford,0.3612
4715,Carlos Curbelo,Rod Blum,0.3612
4716,Bob Dold,Carlos Curbelo,0.3612
4717,Bob Dold,Rod Blum,0.3612
4718,Ami Bera,Kathleen Rice,0.4019
4719,Donald Trump,Hillary Clinton,-0.7259
4720,Hillary,Trump,-0.2144
4721,Clinton,Gary Johnson,0.743
4722,Clinton,Jill Stein,0.743
4723,Gary Johnson,Jill Stein,0.743
4724,Sarah Kliff,Vox,0.0
4725,Clinton,Sean Spicer,-0.296
4726,Clinton,Donald Trump,0.0
4727,Elizabeth Banks,Sally Fields,0.0
4728,Mary Steenburgen,Sally Fields,0.0
4729,Elizabeth Banks,Mary Steenburgen,0.0
4730,Clinton,Griebe,0.6369
4731,Clinton,Donald Trump,-0.6908
4732,Curbelo,Obama,0.2023
4733,Arnold Schwarzenegger,Donald Trump,0.3182
4734,Hillary Clinton,Marco Rubio,0.6642
4735,Bernie Sanders,Dianne Feinstein,0.0
4736,Chuck Todd,Clinton,0.8402
4737,Donald Trump,Jeb Bush,-0.9274
4738,Bush,George W. Bush,0.0
4739,Bush,Bush,0.1531
4740,Bush,George H.W. Bush,0.1531
4741,Bush,George H.W. Bush,0.1531
4742,Cruz,Cruz,-0.5106
4743,Gerald Ford,Ronald Reagan,0.0
4744,Jimmy Stewart,John Wayne,0.1027
4745,John Wayne,Pat Boone,0.1027
4746,Jimmy Stewart,Pat Boone,0.1027
4747,Craig Shirley,Reagan,-0.3818
4748,Reagan,Reagan,-0.3818
4749,Craig Shirley,Reagan,-0.3818
4750,David Weigel,Katie Zezima,0.0
4751,Hubert Humphrey,Johnson,0.9001
4752,Heidi,Ted Cruz,0.5267
4753,Catherine,Ted Cruz,0.5267
4754,Catherine,Heidi,0.5267
4755,Cruz,Heidi Cruz,0.0772
4756,Cruz,Cruz,-0.4019
4757,Cruz,Register,0.4939
4758,Cruz,Rick Tyler,0.0
4759,Herman Cain,Rick Perry,0.0
4760,Newt Gingrich,Rick Perry,0.0
4761,Herman Cain,Newt Gingrich,0.0
4762,Jeb Bush,Marco Rubio,-0.3779
4763,Bloomberg,Marco Rubio,0.0
4764,Marco Rubio,Michael Bender,0.0
4765,Bloomberg,Michael Bender,0.0
4766,Mike Huckabee,Rick Santorum,0.2263
4767,Bush,Rubio,0.4404
4768,Bush,Donald Trump,0.4404
4769,Ben Carson,Bush,0.4404
4770,Bush,Carly Fiorina,0.4404
4771,Donald Trump,Rubio,0.4404
4772,Ben Carson,Rubio,0.4404
4773,Carly Fiorina,Rubio,0.4404
4774,Ben Carson,Donald Trump,0.4404
4775,Carly Fiorina,Donald Trump,0.4404
4776,Ben Carson,Carly Fiorina,0.4404
4777,John Kasich,Ted Cruz,0.0
4778,Bush,Ted Cruz,0.0
4779,Bush,John Kasich,0.0
4780,Bush,Rubio,0.34
4781,Jerry Brown,Kamala Harris,0.0
4782,Mark Herring,Michael Kelly,0.0
4783,Marco Rubio,Mo Elleithee,-0.0258
4784,Donald Trump,Rudolph W. Giuliani,-0.9062
4785,Chuck Todd,Giuliani,0.0
4786,Giuliani,Trump,-0.5859
4787,Biden,McCain,0.0
4788,George Stephanopoulos,McCain,0.0
4789,Giuliani,McCain,0.0
4790,Biden,George Stephanopoulos,0.0
4791,Biden,Giuliani,0.0
4792,George Stephanopoulos,Giuliani,0.0
4793,Bill Clinton,Hillary Clinton,-0.4767
4794,Clintons,Juanita Broaddrick,-0.7733
4795,Giuliani,Tapper,0.0
4796,Bill Clinton,Todd,0.0
4797,Bill Clinton's,Giuliani,0.0
4798,Kellyanne Conway,Reince Priebus,0.0
4799,Donald Trump,Kellyanne,0.7159
4800,Giuliani,Kellyanne,0.7159
4801,Donald Trump,Giuliani,0.7159
4802,Tai,Tai,-0.6124
4803,Jonathan Butler,Tim Wolfe,-0.9114
4804,Bevin,Jack Conway,0.0
4805,Jack Conway,Obama,0.0258
4806,Bevin,Mitch McConnell,0.899
4807,Antonin Scalia,Roberts,0.743
4808,Biden,Hillary Clinton,0.6705
4809,Francis,Obama,0.0
4810,Francis,Hill,0.296
4811,Benedict XVI,John Paul II,0.34
4812,Curbelo,Francis,0.3818
4813,Francis,John XXIII,0.0
4814,Cruz,Kasich,-0.443
4815,Cruz,Donald Trump,-0.443
4816,Donald Trump,Kasich,-0.443
4817,Marco Rubio,Scott Walker,-0.4019
4818,Ben Carson,Mike Huckabee,0.0
4819,Ben Carson,Scott Walker,0.0
4820,Mike Huckabee,Scott Walker,0.0
4821,Perry,Walker,0.1316
4822,Perry,Walker,0.631
4823,Rand Paul,Ted Cruz,0.0
4824,Donald Trump,Lester Holt,-0.5994
4825,Hillary Clinton,Matt Lauer,0.4588
4826,Hillary Clinton,Politifact,0.4588
4827,Matt Lauer,Politifact,0.4588
4828,Clinton,Louis XVI,-0.5574
4829,Clinton,James Comey,-0.1531
4830,Adams,John Hancock,0.1027
4831,John Hancock,Samuel,0.1027
4832,John,John Hancock,0.1027
4833,Adams,Samuel,0.1027
4834,Adams,John,0.1027
4835,John,Samuel,0.1027
4836,Marco Rubio,Romney,0.3182
4837,Jeb Bush,Romney,0.2144
4838,Donald Trump,Romney,0.0
4839,Romney,Romney,0.5574
4840,Romney,Trump,0.4215
4841,Romney,Trump,-0.5859
4842,Romney,Rubio,-0.5859
4843,Rubio,Trump,-0.5859
4844,Romney,Ted Cruz,0.2411
4845,Antonin Scalia,Obama,0.7096
4846,Antonin Scalia,Obama,0.7096
4847,Mark Hurwitz,Obama,0.765
4848,Scalia,Sri Srinavasan,0.0
4849,Mitch] McConnell,Politico,-0.4404
4850,Hurwitz,Reagan,0.2023
4851,Barack Obama,King Abdullah,0.0
4852,Abdullah,Salman,0.0
4853,Abdullah,King Abdul-Aziz Al Saud,0.0
4854,Abdul-Aziz's,Abdullah,0.3612
4855,Fahd,Sultan,-0.1027
4856,Abdullah,George W. Bush,0.25
4857,Abdullah,Fahd,-0.5574
4858,Gonzalo Curiel,Trump,-0.4767
4859,Barack Obama,Marco Rubio,-0.6369
4860,Bill,Hillary Clinton,-0.6124
4861,Bill Clinton,Hillary,-0.9595
4862,Bill Clinton,Trump,-0.9595
4863,Hillary,Trump,-0.9595
4864,Anderson Cooper,Clinton,-0.4588
4865,Anderson Cooper,Universe Alicia Machado,-0.4588
4866,Clinton,Universe Alicia Machado,-0.4588
4867,Paul Ryan,Scott Walker,0.0
4868,Clinton,Trump,0.4386
4869,Corey Lewandowski,Wolf Blitzer,0.0
4870,Clinton,Megan Kelly,-0.2263
4871,Clinton,Jim Clyburn,-0.0258
4872,Clinton,Trump,-0.2057
4873,Clinton,Trump,-0.8442
4874,Clinton,Trump,0.0
4875,Bowdich,Marquez,-0.1695
4876,Jackie Walorski,R-Ind.,0.1901
4877,Kevin McCarthy,Steve Scalise,-0.1531
4878,Scalise,Walorski,0.0
4879,Marsha Blackburn,Scalise,0.0
4880,Marsha Blackburn,Walorski,0.0
4881,Diane Black,R-Tenn.,0.0
4882,Diane Black,Jaime Herrera Beutler,0.0
4883,Diane Black,Vicky Hartzler,0.0
4884,Diane Black,R-Mo.,0.0
4885,Diane Black,Elise Stefanik,0.0
4886,Barbara Comstock,Diane Black,0.0
4887,Diane Black,Susan Brooks,0.0
4888,Ann Wagner,Diane Black,0.0
4889,Diane Black,R-Mo.,0.0
4890,Jaime Herrera Beutler,R-Tenn.,0.0
4891,R-Tenn.,Vicky Hartzler,0.0
4892,R-Mo.,R-Tenn.,0.0
4893,Elise Stefanik,R-Tenn.,0.0
4894,Barbara Comstock,R-Tenn.,0.0
4895,R-Tenn.,Susan Brooks,0.0
4896,Ann Wagner,R-Tenn.,0.0
4897,R-Mo.,R-Tenn.,0.0
4898,Jaime Herrera Beutler,Vicky Hartzler,0.0
4899,Jaime Herrera Beutler,R-Mo.,0.0
4900,Elise Stefanik,Jaime Herrera Beutler,0.0
4901,Barbara Comstock,Jaime Herrera Beutler,0.0
4902,Jaime Herrera Beutler,Susan Brooks,0.0
4903,Ann Wagner,Jaime Herrera Beutler,0.0
4904,Jaime Herrera Beutler,R-Mo.,0.0
4905,R-Mo.,Vicky Hartzler,0.0
4906,Elise Stefanik,Vicky Hartzler,0.0
4907,Barbara Comstock,Vicky Hartzler,0.0
4908,Susan Brooks,Vicky Hartzler,0.0
4909,Ann Wagner,Vicky Hartzler,0.0
4910,R-Mo.,Vicky Hartzler,0.0
4911,Elise Stefanik,R-Mo.,0.0
4912,Barbara Comstock,R-Mo.,0.0
4913,R-Mo.,Susan Brooks,0.0
4914,Ann Wagner,R-Mo.,0.0
4915,R-Mo.,R-Mo.,0.0
4916,Barbara Comstock,Elise Stefanik,0.0
4917,Elise Stefanik,Susan Brooks,0.0
4918,Ann Wagner,Elise Stefanik,0.0
4919,Elise Stefanik,R-Mo.,0.0
4920,Barbara Comstock,Susan Brooks,0.0
4921,Ann Wagner,Barbara Comstock,0.0
4922,Barbara Comstock,R-Mo.,0.0
4923,Ann Wagner,Susan Brooks,0.0
4924,R-Mo.,Susan Brooks,0.0
4925,Ann Wagner,R-Mo.,0.0
4926,Richard Mourdock,Todd Akin,-0.8225
4927,Bernie Sanders,Donald Trump,-0.0516
4928,Bernie Sanders,Trump,0.0
4929,Cruz,Marco Rubio,0.743
4930,Gerald Ford,Ronald Reagan,0.0
4931,Doug Heye,Ted Cruz,0.4588
4932,Cruz,John Kasich,-0.1531
4933,Jeb Bush,Tim Miller,0.0
4934,Clinton,Tharon Johnson,0.3182
4935,Dasha Burns,Oliver Global,0.4404
4936,Bernie Sanders,Clinton,0.0
4937,Hillary Clinton,Jim,0.5423
4938,Bernie,Jim,0.0
4939,Barack Obama,Clinton,0.8779
4940,Clinton,Jim,0.25
4941,Clinton,Ryan,0.0
4942,Reagan,Ryan,0.0
4943,Jim,Ryan,-0.5267
4944,Clinton,superPAC,-0.1154
4945,Hillary,Hillary,0.4404
4946,Donald,Pasalaqua quoting,0.8158
4947,Donald,Donald Trump's,0.8158
4948,Donald Trump's,Pasalaqua quoting,0.8158
4949,Alito,Thomas,0.0
4950,Burwell,Simon Maloy,0.5574
4951,Bashar al-Assad,Vladimir Putin,0.296
4952,Assad,Putin,-0.3182
4953,Dmitry Medvedev,Putin,0.3182
4954,Putin,Sergei Lavrov,0.3182
4955,Putin,Sergei Shoigu,0.3182
4956,Dmitry Medvedev,Sergei Lavrov,0.3182
4957,Dmitry Medvedev,Sergei Shoigu,0.3182
