,nodeA,nodeB,polarity
149,Clintons,Comey,0.15
150,Barack Obama,Micah Johnson,-0.25
151,Lena Dunham,Paul Ryan,0.13712121212121212
152,Che Guevara's,Susan Sarandon,0.1
153,Charlie Brown,Mohammed,-0.14090909090909093
154,Leonard Nimoy,Obama,0.0
155,Ferguson,Ferguson,0.3
156,Obama,Putin,0.10727272727272727
157,Hillary Clinton's,Putin,0.017735042735042728
158,Hillary Hellfire,Putin,0.017735042735042728
159,Hillary Clinton's,Hillary Hellfire,0.017735042735042728
160,Bergdahl,Berkley,0.0
161,Eric Shinseki,Jay Carney,-0.04
162,Netflix,Putin,0.0
163,Putin,anti-gay,0.0
164,Henry Waxman,Marianne Williamson,0.0
165,Joe Biden,Trayvon,0.0
166,George,Zimmerman,0.05
167,Carlos Danger',George,0.05
168,Carlos Danger',Zimmerman,0.05
169,Benghazi,Gosnell,-1.0
170,Chupacabras,Sequester,0.0
171,Bernie Sanders,Joe Biden,0.06000000000000001
172,Charles Krauthammer,Jonah Goldberg,0.0
173,Jon Stewart,Trump,-0.15625
174,Stewart,anti-Semitic,-0.3333333333333333
175,Leibowitz,anti-Semitic,-0.3333333333333333
176,Leibowitz,Stewart,-0.3333333333333333
177,Hillary Clinton,Trump,0.0
178,Ru,Victor Olevich,0.0
179,John Kerry,Sergey Lavrov,0.25
180,Duke,Slattery,0.05000000000000001
181,Duke,Hillary,0.8
182,Hillary,Trump,0.024999999999999994
183,Hillary,Trump,0.024999999999999994
184,Hillary,Hillary,0.024999999999999994
185,Hillary,Trump,0.43333333333333335
186,Andrew Bradford,Clinton Wins,0.3
187,Clinton,Roger Pillath,0.0
188,Paul Swick,Trump,-0.1
189,George Soros,Hillary Clinton,-0.4
190,Hillary,Trump,0.0875
191,Bernie,Hillary,-0.1875
192,Reagan,Toby Hartford,-0.3125
193,Bernice Stewart,New Yorker,0.013939393939393929
194,Condie Matthews,Trump,0.15000000000000002
195,Clinton,Donald Trump,0.16994949494949493
196,Sarah Jones,Tue,0.0
197,Comey,Sarah Jones,0.0
198,Comey,Tue,0.0
199,James Comey,Obama,0.2916666666666667
200,Clinton,Comey,-0.08194444444444444
201,Clinton,Comey,-0.08194444444444444
202,Comey,Comey,-0.08194444444444444
203,Clinton,Clinton,-0.08194444444444444
204,Clinton,Comey,-0.08194444444444444
205,Clinton,Comey,-0.08194444444444444
206,Comey,Donald Trump,-0.3333333333333333
207,Clinton,Comey,0.16666666666666666
208,Clan,Clinton,0.275
209,Clinton,Hillary,0.275
210,Clan,Hillary,0.275
211,Donald Trump,Vladimir Putin,-0.039999999999999994
212,Putin,Trump,0.19999999999999998
213,Putin,Vladimir Putin,0.025000000000000005
214,Donald Trump,Putin,0.025000000000000005
215,Donald Trump,Vladimir Putin,0.025000000000000005
216,Trump,Vyacheslav Volodin,0.0
217,Donald Trump,Sergey Lavrov,0.1278409090909091
218,Sergey Zheleznyak,Vladimir Putin,0.0
219,Sergey Zheleznyak,Trump,0.0
220,Trump,Vladimir Putin,0.0
221,Donald Trump,Vladimir Zhirinovsky,-0.06666666666666668
222,Clinton,Vladimir Zhirinovsky,-0.06666666666666668
223,Barack Obama,Vladimir Zhirinovsky,-0.06666666666666668
224,Clinton,Donald Trump,-0.06666666666666668
225,Barack Obama,Donald Trump,-0.06666666666666668
226,Barack Obama,Clinton,-0.06666666666666668
227,Donald Trump,Francois Hollande,0.1
228,Christian Jacob,Fran ç,0.0
229,Bill Clinton,Bill Cosby,0.0
230,Greg P. Share,John Podesta,0.0
231,Bill Clinton,Clinton,-0.1
232,Bill Cosby,Clinton,-0.1
233,Bill Clinton,Bill Cosby,-0.1
234,Gingrich,Kelly,0.0
235,Scott Michael Greene,Sgt,0.0
236,Beminio,Sheridan Ave,0.05
237,Carlos Puente-Morales,Susan Farrell,-0.25
238,Barack Obama,Hillary Clinton,0.09523809523809523
239,Hillary,Peanut,0.8
240,Bush,George Dubya,-0.25
241,Bush,"Christopher Privett 
",0.0
