,precision,recall,f1-score,support
0,0.498,0.531,0.514,612.0
1,0.436,0.417,0.427,824.0
2,0.317,0.468,0.378,716.0
3,0.419,0.329,0.369,702.0
4,0.399,0.286,0.333,595.0
5,0.426,0.364,0.392,550.0
6,0.354,0.296,0.322,494.0
7,0.268,0.393,0.319,290.0
accuracy,0.39,0.39,0.39,0.39
macro avg,0.39,0.385,0.382,4783.0
weighted avg,0.399,0.39,0.389,4783.0
