,precision,recall,f1-score,support
Season_1,0.53,0.547,0.539,612.0
Season_2,0.42,0.492,0.453,824.0
Season_3,0.371,0.387,0.379,716.0
Season_4,0.407,0.386,0.396,702.0
Season_5,0.416,0.424,0.42,595.0
Season_6,0.438,0.404,0.42,550.0
Season_7,0.381,0.387,0.384,494.0
Season_8,0.365,0.2,0.258,290.0
accuracy,0.42,0.42,0.42,0.42
macro avg,0.416,0.403,0.406,4783.0
weighted avg,0.419,0.42,0.418,4783.0
